,display,Test image A,Test image B,left,right,work,shirk,noninspect,worked,inspected,shirked,noninspected,randomise_trials,trace,Likert
0,intro,,,,,,,,,,,,0,1,
1,attention,,,,,,,,,,,,1,1,
2,attention,,,,,,,,,,,,1,1,
3,attention,,,,,,,,,,,,1,1,
4,attention,,,,,,,,,,,,1,1,
5,attention,,,,,,,,,,,,1,1,
6,trials,s1.PNG,i1.PNG,1,0,1,0,0,w1.PNG,in1.PNG,sh1.PNG,n1.PNG,1,1,"1, 2, 3, 4, 5, 6, 7"
7,trials,s0.PNG,i0.PNG,0,1,1,0,0,w0.PNG,in0.PNG,sh0.PNG,n0.PNG,1,1,"1, 2, 3, 4, 5, 6, 7"
8,trials,s0.PNG,i0.PNG,0,1,1,0,0,w0.PNG,in0.PNG,sh0.PNG,n0.PNG,1,1,"1, 2, 3, 4, 5, 6, 7"
9,trials,s1.PNG,i1.PNG,1,0,1,0,0,w1.PNG,in1.PNG,sh1.PNG,n1.PNG,1,1,"1, 2, 3, 4, 5, 6, 7"
10,trials,s1.PNG,i1.PNG,1,0,1,0,0,w1.PNG,in1.PNG,sh1.PNG,n1.PNG,1,1,"1, 2, 3, 4, 5, 6, 7"
11,trials,s0.PNG,i0.PNG,0,1,1,0,0,w0.PNG,in0.PNG,sh0.PNG,n0.PNG,1,0,"1, 2, 3, 4, 5, 6, 7"
